"Branch Name";"Swift Code"
"CREDIT DU MAROC – SUCCURSALE DE PARIS – PARIS";"CDMAFRPXXXX"
"CREDIT DU NORD – LILLE";"NORDFRPPXXX"
"CREDIT FONCIER DE FRANCE – PARIS";"CFFRFRPPXXX"
"CREDIT FONCIER DE FRANCE – PARIS";"CFFRFRPPSSS"
"CREDIT LYONNAIS – PARIS";"CRLYFRPPXXX"
"CREDIT MUTUEL – STRASBOURG";"CMCIFR2AXXX"
"CREDIT MUTUEL – CIC BANQUES – PARIS";"CMCIFRPAXXX"
"CREDIT MUTUEL ARKEA – BREST";"CMBRFR2BXXX"
"CREDIT SUISSE (FRANCE), PARIS – PARIS";"CRESFRPPXXX"
"CREDIT SUISSE AG, PARIS BRANCH – PARIS";"CRESFRPZXXX"
"D.I.M.O. GESTION – LIMONEST";"DIMOFR22XXX"
"DANONE FINANCE S.A. – PARIS";"DAFIFRPPXXX"
"DECATHLON SA – VILLENEUVE D’ASCQ";"OXYLFR22XXX"
"DEUTSCHE BANK AG – PARIS";"DEUTFRPPXXX"
"DEUTSCHE BANK AG – PARIS";"DEUTFRPPSEC"
"DEUTSCHE BANK AG – PARIS";"DEUTFRPPSSS"
"DUBUS S.A. – LILLE";"DUBUFR2LXXX"
"DUBUS S.A. – LILLE";"DUBUFR2LDEU"
"DUBUS S.A. – LILLE";"DUBUFR2LTRO"
"DUBUS SA – LILLE";"DUBUFR2NXXX"
"EBI SA – PARIS";"ECOCFRPPXXX"
"EFG BANQUE PRIVEE – PARIS";"EFGBFRPPXXX"
"ELECTRO BANQUE – PARIS";"ELBAFRPPXXX"
"ETS J SOUFFLET – NOGENT SUR SEINE";"SOUFFR22XXX"
"EULER HERMES SFAC CREDIT – PARIS";"EHSCFR2PXXX"
"EUROPE ARAB BANK PLC – PARIS";"ARABFRPPXXX"
"EUROPEAN FUND ADMINISTRATION FRANCE S.A.S – PARIS";"EFALFRPPXXX"
"EUROPEAN FUND ADMINISTRATION FRANCE S.A.S – PARIS";"EFALFRPPACC"
"EUROPEAN FUND ADMINISTRATION FRANCE S.A.S – PARIS";"EFALFRPPEQY"
"EUROPEENE DE GESTION PRIVEE – BORDEAUX";"EUGPFR22XXX"
"EUROPEENE DE GESTION PRIVEE – TOULOUSE";"EUGPFR22TOL"
"EURO-VL – LEVALLOIS PERRET";"EUVLFRPPXXX"
"EXANE S.A. – PARIS";"EXANFRPPXXX"
"EXANE S.A. – PARIS";"EXANFRPPSAM"
"EXANE S.A. – PARIS";"EXANFRPPSTO"
"F.B.F. (FORTIS BANQUE FRANCE) – PUTEAUX";"RUBBFRPPXXX"
"FACTOBAIL – PARIS";"FACIFRPPXXX"
"FASTNET FRANCE – PARIS";"FNETFRPPXXX"
"FAURECIA – NANTERRE";"FAURFRPPXXX"
"FBN BANK UK LTD – PARIS";"FBNIFRPPXXX"
"FDI FRANCE – LA MOTTE-SERVOLEX";"FDFRFR22XXX"
"FINANCIERE BOURBON – MARSEILLE";"FGBBFR2MXXX"
"FINANCIERE D’UZES – PARIS";"UZESFRCPXXX"
"FORTIS BANK SA/NV, PARIS BRANCH – PUTEAUX";"GEBAFRPPXXX"
"FORTIS BANQUE FRANCE – PUTEAUX";"BPARFRPPXXX"
"FRANCE TELECOM SA – PARIS";"FTELFRPPXXX"
"FRANSABANK FRANCE S.A. – PARIS";"FRAFFRPPXXX"
"GAZ DE FRANCE – PARIS";"GDFGFRPPXXX"
"GDF SUEZ – PARIS";"GSZGFRPPXXX"
"GE CORPORATE FINANCE BANK – PARIS";"CRFAFRPPXXX"
"GE FACTOFRANCE – PARIS";"FACFFRPPXXX"
"GE MONEY BANK SCA – PARIS";"MOEYFRPPXXX"
"GE MONEY BANK SCA – PARIS";"MOEYFRPPMON"
"GIE AXA FRANCE – PARIS";"AXAFFRPPXXX"
"GIRAUD INTERNATIONAL – VITRY SUR SEINE";"JIROFRPPXXX"
"GROUPAMA ASSET MANAGEMENT – PARIS";"GPAMFRPPXXX"
"GROUPAMA BANQUE – MONTREUIL";"GPBAFRPPXXX"
